update,env_steps,policy_loss,value_loss,entropy,clip_fraction,recent_avg_return,recent_severe_miss_rate,recent_false_warning_rate,recent_avg_warning_step_on_severe,recent_avg_watch_step_on_potential,recent_safety_score,validation_avg_return,validation_severe_miss_rate,validation_false_warning_rate,validation_avg_warning_step_on_severe,validation_avg_watch_step_on_potential,validation_safety_score,device,artifact_prefix
87,22272,-0.0005272757261991501,415.4039707183838,0.1796982204541564,0.0029296875,19.84500015258789,0.0,0.043478260869565216,5.0,3.292682926829268,17.671087109109628,,,,,,,cpu,ppo_lstm_seed77
88,22528,-0.00038887374103069305,574.2992687225342,0.16925283335149288,0.0,20.654999923706054,0.0,0.02127659574468085,5.0625,3.5405405405405403,19.591170136472012,,,,,,,cpu,ppo_lstm_seed77
89,22784,0.002671648282557726,609.3245258331299,0.19965196959674358,0.0048828125,19.225000038146973,0.0,0.02040816326530612,5.0,3.6176470588235294,18.204591874881668,,,,,,,cpu,ppo_lstm_seed77
90,23040,0.0006356080994009972,602.0759878158569,0.23491618502885103,0.005859375,19.314999957084655,0.0,0.0,5.0588235294117645,4.243243243243243,19.314999957084655,,,,,,,cpu,ppo_lstm_seed77
91,23296,-0.0005221888422966003,800.1016578674316,0.22027322091162205,0.0009765625,19.3699999666214,0.0,0.0,4.8125,3.6578947368421053,19.3699999666214,,,,,,,cpu,ppo_lstm_seed77
92,23552,-8.726981468498707e-05,755.026965379715,0.22398052923381329,0.005859375,20.32500006198883,0.0,0.0,4.7894736842105265,3.7777777777777777,20.32500006198883,,,,,,,cpu,ppo_lstm_seed77
93,23808,0.0025555756874382496,262.02065229415894,0.20675759203732014,0.0087890625,21.210000176429748,0.0,0.0,4.588235294117647,3.7954545454545454,21.210000176429748,,,,,,,cpu,ppo_lstm_seed77
94,24064,-0.0007620835676789284,434.3739824295044,0.14911817759275436,0.0029296875,25.12500030040741,0.0,0.0,4.4375,3.574468085106383,25.12500030040741,,,,,,,cpu,ppo_lstm_seed77
95,24320,-0.00020565371960401535,531.170482635498,0.1569955786690116,0.0,26.62500024318695,0.0,0.0,4.7368421052631575,3.6363636363636362,26.62500024318695,,,,,,,cpu,ppo_lstm_seed77
96,24576,-0.0015272970777004957,639.5288619995117,0.1748898383229971,0.0,28.57500032901764,0.0,0.0,5.0,3.6904761904761907,28.57500032901764,,,,,,,cpu,ppo_lstm_seed77
97,24832,-0.000614650547504425,791.0341682434082,0.16962935030460358,0.009765625,28.235000381469728,0.0,0.0,5.086956521739131,3.7333333333333334,28.235000381469728,,,,,,,cpu,ppo_lstm_seed77
